region,name,class,TargetGene,TargetGeneTSS,TargetGeneExpression,distance,isSelfPromoter,ABC.Score,CellType,Disease,score_category
chr11:76299648-76299649,intergenic|chr11:76299387-76299887,intergenic,LRRC32,76381044,,81407.0,False,0.023501,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_6_hour-Garber2017,IBD,Mid
chr21:34776694-34776695,genic|chr21:34776084-34777655,genic,IFNAR1,34697213,,79656.5,False,0.037029,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_6_hour-Garber2017,IBD,Mid
chr21:34776694-34776695,genic|chr21:34776084-34777655,genic,IFNGR2,34775201,,1668.5,False,0.189464,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_6_hour-Garber2017,IBD,High
chr21:34776694-34776695,genic|chr21:34776084-34777655,genic,PAXBP1,34144169,,632700.5,False,0.023054,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_6_hour-Garber2017,IBD,Mid
chr21:34776694-34776695,genic|chr21:34776084-34777655,genic,IFNAR2,34602199,,174670.5,False,0.032815,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_6_hour-Garber2017,IBD,Mid
chr21:34776694-34776695,genic|chr21:34776084-34777655,genic,OLIG1,34442449,,334420.5,False,0.027009,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_6_hour-Garber2017,IBD,Mid
chr21:34776694-34776695,genic|chr21:34776084-34777655,genic,URB1-AS1,33765441,,1011428.5,False,0.017681,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_6_hour-Garber2017,IBD,Low
chr21:34776694-34776695,genic|chr21:34776084-34777655,genic,EVA1C,33784744,,992125.5,False,0.022468,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_6_hour-Garber2017,IBD,Mid
chr21:34776694-34776695,genic|chr21:34776084-34777655,genic,C21orf59,33984918,,791951.5,False,0.019976,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_6_hour-Garber2017,IBD,Low
chr21:34776694-34776695,genic|chr21:34776084-34777655,genic,SYNJ1,34100351,,676518.5,False,0.017804,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_6_hour-Garber2017,IBD,Low
chr21:34776694-34776695,genic|chr21:34776084-34777655,genic,ATP5O,35288158,,511288.5,False,0.015495,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_6_hour-Garber2017,IBD,Low
chr21:34776694-34776695,genic|chr21:34776084-34777655,genic,ITSN1,35014705,,237835.5,False,0.020428,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_6_hour-Garber2017,IBD,Low
chr21:34776694-34776695,genic|chr21:34776084-34777655,genic,CRYZL1,35014160,,237290.5,False,0.020428,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_6_hour-Garber2017,IBD,Low
chr21:34776694-34776695,genic|chr21:34776084-34777655,genic,PAXBP1-AS1,34100424,,676445.5,False,0.017804,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_6_hour-Garber2017,IBD,Low
chr21:34776694-34776695,genic|chr21:34776084-34777655,genic,URB1,33765312,,1011557.5,False,0.017679,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_6_hour-Garber2017,IBD,Low
chr21:34776694-34776695,genic|chr21:34776084-34777655,genic,DONSON,34961014,,184144.5,False,0.020065,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_6_hour-Garber2017,IBD,Low
chr21:34776694-34776695,genic|chr21:34776084-34777655,genic,SON,34915343,,138473.5,False,0.017691,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_6_hour-Garber2017,IBD,Low
chr21:34776694-34776695,genic|chr21:34776084-34777655,genic,GART,34914464,,137594.5,False,0.018533,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_6_hour-Garber2017,IBD,Low
chr21:34776694-34776695,genic|chr21:34776084-34777655,genic,MIS18A,33651376,,1125493.5,False,0.016428,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_6_hour-Garber2017,IBD,Low
chr21:34776694-34776695,genic|chr21:34776084-34777655,genic,DNAJC28,34864030,,87160.5,False,0.030321,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_6_hour-Garber2017,IBD,Mid
chr21:34776694-34776695,genic|chr21:34776084-34777655,genic,TMEM50B,34852316,,75446.5,False,0.032349,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_6_hour-Garber2017,IBD,Mid
chr16:11349677-11349678,promoter|chr16:11348668-11350887,promoter,PRM3,11367452,,17674.5,False,0.10351,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_6_hour-Garber2017,IBD,High
chr16:11349677-11349678,promoter|chr16:11348668-11350887,promoter,SOCS1,11350039,,261.5,True,0.165404,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_6_hour-Garber2017,IBD,High
chr1:206939903-206939904,intergenic|chr1:206939651-206940151,intergenic,IL10,206945839,,5938.0,False,0.030996,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_6_hour-Garber2017,IBD,Mid
chr21:34777408-34777409,genic|chr21:34776084-34777655,genic,C21orf62-AS1,34144410,,632459.5,False,0.023054,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_6_hour-Garber2017,IBD,Mid
chr21:34777408-34777409,genic|chr21:34776084-34777655,genic,GART,34914464,,137594.5,False,0.018533,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_6_hour-Garber2017,IBD,Low
chr21:34777408-34777409,genic|chr21:34776084-34777655,genic,DNAJC28,34864030,,87160.5,False,0.030321,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_6_hour-Garber2017,IBD,Mid
chr21:34777408-34777409,genic|chr21:34776084-34777655,genic,PAXBP1-AS1,34100424,,676445.5,False,0.017804,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_6_hour-Garber2017,IBD,Low
chr21:34777408-34777409,genic|chr21:34776084-34777655,genic,MIS18A,33651376,,1125493.5,False,0.016428,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_6_hour-Garber2017,IBD,Low
chr21:34777408-34777409,genic|chr21:34776084-34777655,genic,URB1,33765312,,1011557.5,False,0.017679,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_6_hour-Garber2017,IBD,Low
chr21:34777408-34777409,genic|chr21:34776084-34777655,genic,IFNAR1,34697213,,79656.5,False,0.037029,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_6_hour-Garber2017,IBD,Mid
chr21:34777408-34777409,genic|chr21:34776084-34777655,genic,DONSON,34961014,,184144.5,False,0.020065,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_6_hour-Garber2017,IBD,Low
chr21:34777408-34777409,genic|chr21:34776084-34777655,genic,IFNGR2,34775201,,1668.5,False,0.189464,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_6_hour-Garber2017,IBD,High
chr21:34777408-34777409,genic|chr21:34776084-34777655,genic,SON,34915343,,138473.5,False,0.017691,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_6_hour-Garber2017,IBD,Low
chr21:34777408-34777409,genic|chr21:34776084-34777655,genic,PAXBP1,34144169,,632700.5,False,0.023054,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_6_hour-Garber2017,IBD,Mid
chr21:34777408-34777409,genic|chr21:34776084-34777655,genic,IFNAR2,34602199,,174670.5,False,0.032815,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_6_hour-Garber2017,IBD,Mid
chr21:34777408-34777409,genic|chr21:34776084-34777655,genic,IL10RB-AS1,34638565,,138304.5,False,0.034289,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_6_hour-Garber2017,IBD,Mid
chr21:34777408-34777409,genic|chr21:34776084-34777655,genic,OLIG1,34442449,,334420.5,False,0.027009,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_6_hour-Garber2017,IBD,Mid
chr21:34777408-34777409,genic|chr21:34776084-34777655,genic,IL10RB,34638664,,138205.5,False,0.034289,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_6_hour-Garber2017,IBD,Mid
chr21:34777408-34777409,genic|chr21:34776084-34777655,genic,URB1-AS1,33765441,,1011428.5,False,0.017681,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_6_hour-Garber2017,IBD,Low
chr21:34777408-34777409,genic|chr21:34776084-34777655,genic,TMEM50B,34852316,,75446.5,False,0.032349,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_6_hour-Garber2017,IBD,Mid
chr21:34777408-34777409,genic|chr21:34776084-34777655,genic,EVA1C,33784744,,992125.5,False,0.022468,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_6_hour-Garber2017,IBD,Mid
chr21:34777408-34777409,genic|chr21:34776084-34777655,genic,C21orf59,33984918,,791951.5,False,0.019976,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_6_hour-Garber2017,IBD,Low
chr21:34777408-34777409,genic|chr21:34776084-34777655,genic,SYNJ1,34100351,,676518.5,False,0.017804,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_6_hour-Garber2017,IBD,Low
chr21:34777408-34777409,genic|chr21:34776084-34777655,genic,ATP5O,35288158,,511288.5,False,0.015495,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_6_hour-Garber2017,IBD,Low
chr21:34777408-34777409,genic|chr21:34776084-34777655,genic,ITSN1,35014705,,237835.5,False,0.020428,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_6_hour-Garber2017,IBD,Low
chr21:34777408-34777409,genic|chr21:34776084-34777655,genic,CRYZL1,35014160,,237290.5,False,0.020428,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_6_hour-Garber2017,IBD,Low
chr20:48955594-48955595,intergenic|chr20:48955240-48955946,intergenic,LINC01270,48909256,,46337.0,False,0.017249,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_6_hour-Garber2017,IBD,Low
chr20:48955594-48955595,intergenic|chr20:48955240-48955946,intergenic,LINC01271,48937879,,17714.0,False,0.032362,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_6_hour-Garber2017,IBD,Mid
chr20:44740195-44740196,intergenic|chr20:44739865-44740365,intergenic,NCOA5,44718580,,21535.0,False,0.019347,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_6_hour-Garber2017,IBD,Low
chr20:44740195-44740196,intergenic|chr20:44739865-44740365,intergenic,CD40,44746892,,6777.0,False,0.096162,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_6_hour-Garber2017,IBD,High
chr6:391622-391623,promoter|chr6:391113-393865,promoter,IRF4,391738,,751.0,True,0.231437,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_6_hour-Garber2017,IBD,High
chr18:46395021-46395022,intergenic|chr18:46394726-46395935,intergenic,SMAD7,46477081,,81750.5,False,0.015967,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_6_hour-Garber2017,IBD,Low
chr11:118785981-118785982,intergenic|chr11:118785693-118786193,intergenic,BCL9L,118781613,,4330.0,False,0.016972,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_6_hour-Garber2017,IBD,Low
chr17:25867692-25867693,genic|chr17:25867389-25868152,genic,LGALS9,25958173,,90402.5,False,0.020559,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_6_hour-Garber2017,IBD,Mid
chr17:25867692-25867693,genic|chr17:25867389-25868152,genic,KSR1,25799035,,68735.5,False,0.052667,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_6_hour-Garber2017,IBD,High
chr20:48955423-48955424,intergenic|chr20:48955240-48955946,intergenic,LINC01270,48909256,,46337.0,False,0.017249,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_6_hour-Garber2017,IBD,Low
chr20:48955423-48955424,intergenic|chr20:48955240-48955946,intergenic,LINC01271,48937879,,17714.0,False,0.032362,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_6_hour-Garber2017,IBD,Mid
chr21:40466467-40466468,intergenic|chr21:40466275-40466775,intergenic,LOC400867,40310353,,156172.0,False,0.019632,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_6_hour-Garber2017,IBD,Low
chr21:40466467-40466468,intergenic|chr21:40466275-40466775,intergenic,ERG,40033704,,432821.0,False,0.017026,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_6_hour-Garber2017,IBD,Low
