region,name,class,TargetGene,TargetGeneTSS,TargetGeneExpression,distance,isSelfPromoter,ABC.Score,CellType,Disease,score_category
chr10:64441203-64441204,intergenic|chr10:64440850-64442600,intergenic,ADO,64564515,,122790.0,False,0.021458,GM12878-Roadmap,IBD,Mid
chr10:64441203-64441204,intergenic|chr10:64440850-64442600,intergenic,EGR2,64576140,,134415.0,False,0.015975,GM12878-Roadmap,IBD,Low
chr22:30163834-30163835,promoter|chr22:30162217-30164057,promoter,ZMAT5,30162969,,168.0,True,0.320701,GM12878-Roadmap,IBD,High
chr22:30163834-30163835,promoter|chr22:30162217-30164057,promoter,UQCR10,30163357,,220.0,True,0.320697,GM12878-Roadmap,IBD,High
chr1:78444763-78444764,promoter|chr1:78443735-78445139,promoter,FUBP1,78444889,,452.0,True,0.62923,GM12878-Roadmap,IBD,High
chr1:78444763-78444764,promoter|chr1:78443735-78445139,promoter,DNAJB4,78444841,,404.0,True,0.629229,GM12878-Roadmap,IBD,High
chr1:78444763-78444764,promoter|chr1:78443735-78445139,promoter,NEXN,78354199,,90238.0,False,0.175996,GM12878-Roadmap,IBD,High
chr1:78444763-78444764,promoter|chr1:78443735-78445139,promoter,MIGA1,78245308,,199129.0,False,0.109966,GM12878-Roadmap,IBD,High
chr1:78444763-78444764,promoter|chr1:78443735-78445139,promoter,USP33,78225564,,218873.0,False,0.125564,GM12878-Roadmap,IBD,High
chr18:46395314-46395315,intergenic|chr18:46394714-46395796,intergenic,SMAD2,45457517,,937738.0,False,0.016779,GM12878-Roadmap,IBD,Low
chr18:46395314-46395315,intergenic|chr18:46394714-46395796,intergenic,CTIF,46065426,,329829.0,False,0.026343,GM12878-Roadmap,IBD,Mid
chr18:46395314-46395315,intergenic|chr18:46394714-46395796,intergenic,SMAD7,46477081,,81826.0,False,0.032899,GM12878-Roadmap,IBD,Mid
chr18:46395314-46395315,intergenic|chr18:46394714-46395796,intergenic,DYM,46987079,,591824.0,False,0.022801,GM12878-Roadmap,IBD,Mid
chr18:46395314-46395315,intergenic|chr18:46394714-46395796,intergenic,ACAA2,47340251,,944996.0,False,0.019275,GM12878-Roadmap,IBD,Low
chr18:46395314-46395315,intergenic|chr18:46394714-46395796,intergenic,SCARNA17,47340392,,945137.0,False,0.019275,GM12878-Roadmap,IBD,Low
chr18:46395314-46395315,intergenic|chr18:46394714-46395796,intergenic,SNHG22,47340392,,945137.0,False,0.019275,GM12878-Roadmap,IBD,Low
chr7:50321473-50321474,intergenic|chr7:50321109-50322191,intergenic,ZPBP,50132860,,188790.0,False,0.038768,GM12878-Roadmap,IBD,Mid
chr7:50321473-50321474,intergenic|chr7:50321109-50322191,intergenic,FIGNL1,50518104,,196454.0,False,0.047863,GM12878-Roadmap,IBD,High
chr7:50321473-50321474,intergenic|chr7:50321109-50322191,intergenic,IKZF1,50358643,,36993.0,False,0.07235,GM12878-Roadmap,IBD,High
chr21:34775720-34775721,promoter|chr21:34775490-34778093,promoter,IFNGR2,34775201,,1590.5,True,0.195845,GM12878-Roadmap,IBD,High
chr21:34776694-34776695,promoter|chr21:34775490-34778093,promoter,IFNGR2,34775201,,1590.5,True,0.195845,GM12878-Roadmap,IBD,High
chr1:206943967-206943968,genic|chr1:206943777-206944277,genic,IL10,206945839,,1812.0,False,0.041028,GM12878-Roadmap,IBD,Mid
chr7:128573966-128573967,intergenic|chr7:128573183-128574124,intergenic,RBM28,127983962,,589691.5,False,0.016798,GM12878-Roadmap,IBD,Low
chr7:128573966-128573967,intergenic|chr7:128573183-128574124,intergenic,IMPDH1,128050036,,523617.5,False,0.018226,GM12878-Roadmap,IBD,Low
chr7:128573966-128573967,intergenic|chr7:128573183-128574124,intergenic,METTL2B,128116782,,456871.5,False,0.018311,GM12878-Roadmap,IBD,Low
chr7:128573966-128573967,intergenic|chr7:128573183-128574124,intergenic,FAM71F2,128312319,,261334.5,False,0.025042,GM12878-Roadmap,IBD,Mid
chr7:128573966-128573967,intergenic|chr7:128573183-128574124,intergenic,CALU,128379345,,194308.5,False,0.017099,GM12878-Roadmap,IBD,Low
chr7:128573966-128573967,intergenic|chr7:128573183-128574124,intergenic,AHCYL2,128864854,,291200.5,False,0.019957,GM12878-Roadmap,IBD,Low
chr7:128573966-128573967,intergenic|chr7:128573183-128574124,intergenic,STRIP2,129074273,,500619.5,False,0.015532,GM12878-Roadmap,IBD,Low
chr7:128573966-128573967,intergenic|chr7:128573183-128574124,intergenic,SMO,128828712,,255058.5,False,0.021209,GM12878-Roadmap,IBD,Mid
chr7:128573966-128573967,intergenic|chr7:128573183-128574124,intergenic,TSPAN33,128784711,,211057.5,False,0.017359,GM12878-Roadmap,IBD,Low
chr7:128573966-128573967,intergenic|chr7:128573183-128574124,intergenic,TPI1P2,128695276,,121622.5,False,0.019762,GM12878-Roadmap,IBD,Low
chr7:128573966-128573967,intergenic|chr7:128573183-128574124,intergenic,TNPO3,128695227,,121573.5,False,0.019762,GM12878-Roadmap,IBD,Low
chr7:128573966-128573967,intergenic|chr7:128573183-128574124,intergenic,IRF5,128577990,,4336.5,False,0.114864,GM12878-Roadmap,IBD,High
chr7:128573966-128573967,intergenic|chr7:128573183-128574124,intergenic,ATP6V1F,128502856,,70797.5,False,0.027187,GM12878-Roadmap,IBD,Mid
chr7:128573966-128573967,intergenic|chr7:128573183-128574124,intergenic,FLNC,128470482,,103171.5,False,0.021828,GM12878-Roadmap,IBD,Mid
chr7:128573966-128573967,intergenic|chr7:128573183-128574124,intergenic,CCDC136,128432049,,141604.5,False,0.022192,GM12878-Roadmap,IBD,Mid
chr17:38023744-38023745,promoter|chr17:38023276-38024704,promoter,IKZF3,38020441,,3549.0,False,0.195867,GM12878-Roadmap,IBD,High
chr17:38023744-38023745,promoter|chr17:38023276-38024704,promoter,ZPBP2,38024454,,464.0,True,0.195853,GM12878-Roadmap,IBD,High
chr22:37258502-37258503,genic|chr22:37257946-37259763,genic,TST,37415494,,156639.5,False,0.036986,GM12878-Roadmap,IBD,Mid
chr22:37258502-37258503,genic|chr22:37257946-37259763,genic,CSF2RB,37309674,,50819.5,False,0.054312,GM12878-Roadmap,IBD,High
chr22:37258502-37258503,genic|chr22:37257946-37259763,genic,NCF4,37257029,,1825.5,False,0.22453,GM12878-Roadmap,IBD,High
chr22:37258502-37258503,genic|chr22:37257946-37259763,genic,IFT27,37172177,,86677.5,False,0.052687,GM12878-Roadmap,IBD,High
chr22:37258502-37258503,genic|chr22:37257946-37259763,genic,TMPRSS6,37499693,,240838.5,False,0.020652,GM12878-Roadmap,IBD,Mid
chr22:37258502-37258503,genic|chr22:37257946-37259763,genic,EIF3D,36925277,,333577.5,False,0.025737,GM12878-Roadmap,IBD,Mid
chr22:37258502-37258503,genic|chr22:37257946-37259763,genic,KCTD17,37447775,,188920.5,False,0.028606,GM12878-Roadmap,IBD,Mid
chr22:37258502-37258503,genic|chr22:37257946-37259763,genic,FOXRED2,36903090,,355764.5,False,0.019833,GM12878-Roadmap,IBD,Low
chr22:37258502-37258503,genic|chr22:37257946-37259763,genic,MPST,37415682,,156827.5,False,0.036985,GM12878-Roadmap,IBD,Mid
chr21:34777408-34777409,promoter|chr21:34775490-34778093,promoter,IFNGR2,34775201,,1590.5,True,0.195845,GM12878-Roadmap,IBD,High
chr20:48955594-48955595,intergenic|chr20:48955024-48955767,intergenic,CEBPB,48807119,,148276.5,False,0.016043,GM12878-Roadmap,IBD,Low
chr20:48955594-48955595,intergenic|chr20:48955024-48955767,intergenic,CEBPB-AS1,48808606,,146789.5,False,0.016043,GM12878-Roadmap,IBD,Low
chr20:48955594-48955595,intergenic|chr20:48955024-48955767,intergenic,LINC01270,48909256,,46139.5,False,0.023415,GM12878-Roadmap,IBD,Mid
chr20:48955594-48955595,intergenic|chr20:48955024-48955767,intergenic,LINC01271,48937879,,17516.5,False,0.040666,GM12878-Roadmap,IBD,Mid
chr10:6094696-6094697,genic|chr10:6094235-6094988,genic,IL2RA,6104333,,9721.5,False,0.032515,GM12878-Roadmap,IBD,Mid
chr1:206966741-206966742,intergenic|chr1:206966323-206967495,intergenic,IL10,206945839,,21070.0,False,0.018427,GM12878-Roadmap,IBD,Low
chr6:42007402-42007403,intergenic|chr6:42006930-42008054,intergenic,TAF8,42018250,,10758.0,False,0.022014,GM12878-Roadmap,IBD,Mid
chr6:391622-391623,promoter|chr6:390876-392804,promoter,IRF4,391738,,102.0,True,0.209821,GM12878-Roadmap,IBD,High
chr16:11422905-11422906,intergenic|chr16:11421134-11423292,intergenic,LITAF,11680806,,258593.0,False,0.019427,GM12878-Roadmap,IBD,Low
chr16:11422905-11422906,intergenic|chr16:11421134-11423292,intergenic,RMI2,11439294,,17081.0,False,0.096603,GM12878-Roadmap,IBD,High
chr16:11422905-11422906,intergenic|chr16:11421134-11423292,intergenic,LOC105371083,11439069,,16856.0,False,0.096597,GM12878-Roadmap,IBD,High
chr16:11422905-11422906,intergenic|chr16:11421134-11423292,intergenic,SOCS1,11350039,,72174.0,False,0.046777,GM12878-Roadmap,IBD,High
chr16:11422905-11422906,intergenic|chr16:11421134-11423292,intergenic,CLEC16A,11038344,,383869.0,False,0.024781,GM12878-Roadmap,IBD,Mid
chr16:11422905-11422906,intergenic|chr16:11421134-11423292,intergenic,TXNDC11,11836734,,414521.0,False,0.018213,GM12878-Roadmap,IBD,Low
chr16:11422905-11422906,intergenic|chr16:11421134-11423292,intergenic,RSL1D1,11945442,,523229.0,False,0.016175,GM12878-Roadmap,IBD,Low
chr16:11422905-11422906,intergenic|chr16:11421134-11423292,intergenic,DEXI,11036257,,385956.0,False,0.02478,GM12878-Roadmap,IBD,Mid
chr16:11422905-11422906,intergenic|chr16:11421134-11423292,intergenic,EMP2,10674573,,747640.0,False,0.019846,GM12878-Roadmap,IBD,Low
chr16:11422905-11422906,intergenic|chr16:11421134-11423292,intergenic,GSPT1,12009825,,587612.0,False,0.015101,GM12878-Roadmap,IBD,Low
chr16:11422905-11422906,intergenic|chr16:11421134-11423292,intergenic,ATF7IP2,10479911,,942302.0,False,0.01753,GM12878-Roadmap,IBD,Low
chr16:11357859-11357860,intergenic|chr16:11357284-11358077,intergenic,SOCS1,11350039,,7641.5,False,0.021106,GM12878-Roadmap,IBD,Mid
chr18:46395021-46395022,intergenic|chr18:46394714-46395796,intergenic,SMAD2,45457517,,937738.0,False,0.016779,GM12878-Roadmap,IBD,Low
chr18:46395021-46395022,intergenic|chr18:46394714-46395796,intergenic,CTIF,46065426,,329829.0,False,0.026343,GM12878-Roadmap,IBD,Mid
chr18:46395021-46395022,intergenic|chr18:46394714-46395796,intergenic,SMAD7,46477081,,81826.0,False,0.032899,GM12878-Roadmap,IBD,Mid
chr18:46395021-46395022,intergenic|chr18:46394714-46395796,intergenic,DYM,46987079,,591824.0,False,0.022801,GM12878-Roadmap,IBD,Mid
chr18:46395021-46395022,intergenic|chr18:46394714-46395796,intergenic,ACAA2,47340251,,944996.0,False,0.019275,GM12878-Roadmap,IBD,Low
chr18:46395021-46395022,intergenic|chr18:46394714-46395796,intergenic,SCARNA17,47340392,,945137.0,False,0.019275,GM12878-Roadmap,IBD,Low
chr18:46395021-46395022,intergenic|chr18:46394714-46395796,intergenic,SNHG22,47340392,,945137.0,False,0.019275,GM12878-Roadmap,IBD,Low
chr22:37258985-37258986,genic|chr22:37257946-37259763,genic,IFT27,37172177,,86677.5,False,0.052687,GM12878-Roadmap,IBD,High
chr22:37258985-37258986,genic|chr22:37257946-37259763,genic,TMPRSS6,37499693,,240838.5,False,0.020652,GM12878-Roadmap,IBD,Mid
chr22:37258985-37258986,genic|chr22:37257946-37259763,genic,EIF3D,36925277,,333577.5,False,0.025737,GM12878-Roadmap,IBD,Mid
chr22:37258985-37258986,genic|chr22:37257946-37259763,genic,KCTD17,37447775,,188920.5,False,0.028606,GM12878-Roadmap,IBD,Mid
chr22:37258985-37258986,genic|chr22:37257946-37259763,genic,TST,37415494,,156639.5,False,0.036986,GM12878-Roadmap,IBD,Mid
chr22:37258985-37258986,genic|chr22:37257946-37259763,genic,FOXRED2,36903090,,355764.5,False,0.019833,GM12878-Roadmap,IBD,Low
chr22:37258985-37258986,genic|chr22:37257946-37259763,genic,CSF2RB,37309674,,50819.5,False,0.054312,GM12878-Roadmap,IBD,High
chr22:37258985-37258986,genic|chr22:37257946-37259763,genic,MPST,37415682,,156827.5,False,0.036985,GM12878-Roadmap,IBD,Mid
chr22:37258985-37258986,genic|chr22:37257946-37259763,genic,NCF4,37257029,,1825.5,False,0.22453,GM12878-Roadmap,IBD,High
chr13:100018855-100018856,genic|chr13:100018033-100019980,genic,DOCK9-AS2,99738976,,280030.5,False,0.022616,GM12878-Roadmap,IBD,Mid
chr13:100018855-100018856,genic|chr13:100018033-100019980,genic,GPR183,99959749,,59257.5,False,0.022583,GM12878-Roadmap,IBD,Mid
chr13:100018855-100018856,genic|chr13:100018033-100019980,genic,GPR18,99910682,,108324.5,False,0.026618,GM12878-Roadmap,IBD,Mid
chr13:100018855-100018856,genic|chr13:100018033-100019980,genic,UBAC2-AS1,99853011,,165995.5,False,0.022848,GM12878-Roadmap,IBD,Mid
chr13:100018855-100018856,genic|chr13:100018033-100019980,genic,FKSG29,100003673,,15333.5,False,0.05753,GM12878-Roadmap,IBD,High
chr13:100018855-100018856,genic|chr13:100018033-100019980,genic,LINC01232,100151560,,132553.5,False,0.01911,GM12878-Roadmap,IBD,Low
chr13:100018855-100018856,genic|chr13:100018033-100019980,genic,UBAC2,99853162,,165844.5,False,0.022848,GM12878-Roadmap,IBD,Mid
chr13:100018855-100018856,genic|chr13:100018033-100019980,genic,DOCK9,99738660,,280346.5,False,0.022616,GM12878-Roadmap,IBD,Mid
chr13:100018855-100018856,genic|chr13:100018033-100019980,genic,LINC00449,100153317,,134310.5,False,0.019112,GM12878-Roadmap,IBD,Low
chr13:100018855-100018856,genic|chr13:100018033-100019980,genic,TM9SF2,100153627,,134620.5,False,0.019112,GM12878-Roadmap,IBD,Low
chr13:100018855-100018856,genic|chr13:100018033-100019980,genic,CLYBL,100258917,,239910.5,False,0.019578,GM12878-Roadmap,IBD,Low
chr13:100018855-100018856,genic|chr13:100018033-100019980,genic,CLYBL-AS2,100343225,,324218.5,False,0.017049,GM12878-Roadmap,IBD,Low
chr13:100018855-100018856,genic|chr13:100018033-100019980,genic,LOC105370333,100741197,,722190.5,False,0.020939,GM12878-Roadmap,IBD,Mid
chr13:100018855-100018856,genic|chr13:100018033-100019980,genic,TMTC4,101327189,,1308182.5,False,0.015056,GM12878-Roadmap,IBD,Low
chr13:100018855-100018856,genic|chr13:100018033-100019980,genic,PCCA,100741268,,722261.5,False,0.020939,GM12878-Roadmap,IBD,Mid
chr20:48955423-48955424,intergenic|chr20:48955024-48955767,intergenic,CEBPB,48807119,,148276.5,False,0.016043,GM12878-Roadmap,IBD,Low
chr20:48955423-48955424,intergenic|chr20:48955024-48955767,intergenic,CEBPB-AS1,48808606,,146789.5,False,0.016043,GM12878-Roadmap,IBD,Low
chr20:48955423-48955424,intergenic|chr20:48955024-48955767,intergenic,LINC01270,48909256,,46139.5,False,0.023415,GM12878-Roadmap,IBD,Mid
chr20:48955423-48955424,intergenic|chr20:48955024-48955767,intergenic,LINC01271,48937879,,17516.5,False,0.040666,GM12878-Roadmap,IBD,Mid
