region,name,class,TargetGene,TargetGeneTSS,TargetGeneExpression,distance,isSelfPromoter,ABC.Score,CellType,Disease,score_category
chr11:76299648-76299649,intergenic|chr11:76299374-76299874,intergenic,LRRC32,76381044,,81420.0,False,0.023815,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_4_hour-Garber2017,IBD,Mid
chr21:34776694-34776695,genic|chr21:34776166-34777506,genic,URB1-AS1,33765441,,1011395.0,False,0.015359,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_4_hour-Garber2017,IBD,Low
chr21:34776694-34776695,genic|chr21:34776166-34777506,genic,URB1,33765312,,1011524.0,False,0.015358,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_4_hour-Garber2017,IBD,Low
chr21:34776694-34776695,genic|chr21:34776166-34777506,genic,IL10RB,34638664,,138172.0,False,0.030722,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_4_hour-Garber2017,IBD,Mid
chr21:34776694-34776695,genic|chr21:34776166-34777506,genic,IFNAR1,34697213,,79623.0,False,0.032687,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_4_hour-Garber2017,IBD,Mid
chr21:34776694-34776695,genic|chr21:34776166-34777506,genic,ITSN1,35014705,,237869.0,False,0.016324,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_4_hour-Garber2017,IBD,Low
chr21:34776694-34776695,genic|chr21:34776166-34777506,genic,IFNGR2,34775201,,1635.0,False,0.183207,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_4_hour-Garber2017,IBD,High
chr21:34776694-34776695,genic|chr21:34776166-34777506,genic,TMEM50B,34852316,,75480.0,False,0.026756,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_4_hour-Garber2017,IBD,Mid
chr21:34776694-34776695,genic|chr21:34776166-34777506,genic,CRYZL1,35014160,,237324.0,False,0.016324,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_4_hour-Garber2017,IBD,Low
chr21:34776694-34776695,genic|chr21:34776166-34777506,genic,DNAJC28,34864030,,87194.0,False,0.025531,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_4_hour-Garber2017,IBD,Mid
chr21:34776694-34776695,genic|chr21:34776166-34777506,genic,GART,34914464,,137628.0,False,0.016097,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_4_hour-Garber2017,IBD,Low
chr21:34776694-34776695,genic|chr21:34776166-34777506,genic,SON,34915343,,138507.0,False,0.015528,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_4_hour-Garber2017,IBD,Low
chr21:34776694-34776695,genic|chr21:34776166-34777506,genic,DONSON,34961014,,184178.0,False,0.016737,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_4_hour-Garber2017,IBD,Low
chr1:206943967-206943968,genic|chr1:206943799-206944857,genic,FCAMR,207143970,,199642.0,False,0.032453,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_4_hour-Garber2017,IBD,Mid
chr1:206943967-206943968,genic|chr1:206943799-206944857,genic,YOD1,207224422,,280094.0,False,0.021733,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_4_hour-Garber2017,IBD,Mid
chr1:206943967-206943968,genic|chr1:206943799-206944857,genic,FCMR,207095378,,151050.0,False,0.034017,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_4_hour-Garber2017,IBD,Mid
chr1:206943967-206943968,genic|chr1:206943799-206944857,genic,PFKFB2,207226619,,282291.0,False,0.019375,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_4_hour-Garber2017,IBD,Low
chr1:206943967-206943968,genic|chr1:206943799-206944857,genic,IL10,206945839,,1511.0,False,0.240634,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_4_hour-Garber2017,IBD,High
chr1:206943967-206943968,genic|chr1:206943799-206944857,genic,PM20D1,205819276,,1125052.0,False,0.015843,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_4_hour-Garber2017,IBD,Low
chr1:206943967-206943968,genic|chr1:206943799-206944857,genic,AVPR1B,206224282,,720046.0,False,0.016766,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_4_hour-Garber2017,IBD,Low
chr1:206943967-206943968,genic|chr1:206943799-206944857,genic,C1orf186,206288647,,655681.0,False,0.018403,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_4_hour-Garber2017,IBD,Low
chr1:206943967-206943968,genic|chr1:206943799-206944857,genic,RASSF5,206680862,,263466.0,False,0.019265,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_4_hour-Garber2017,IBD,Low
chr1:206943967-206943968,genic|chr1:206943799-206944857,genic,EIF2D,206785904,,158424.0,False,0.022606,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_4_hour-Garber2017,IBD,Mid
chr1:206943967-206943968,genic|chr1:206943799-206944857,genic,DYRK3,206808880,,135448.0,False,0.026546,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_4_hour-Garber2017,IBD,Mid
chr1:206943967-206943968,genic|chr1:206943799-206944857,genic,CR2,207627644,,683316.0,False,0.018639,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_4_hour-Garber2017,IBD,Low
chr1:206943967-206943968,genic|chr1:206943799-206944857,genic,CR1,207669472,,725144.0,False,0.020054,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_4_hour-Garber2017,IBD,Low
chr1:206943967-206943968,genic|chr1:206943799-206944857,genic,MAPKAPK2,206858364,,85964.0,False,0.024561,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_4_hour-Garber2017,IBD,Mid
chr1:206943967-206943968,genic|chr1:206943799-206944857,genic,CR1L,207818457,,874129.0,False,0.018487,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_4_hour-Garber2017,IBD,Low
chr1:206939903-206939904,intergenic|chr1:206939663-206940163,intergenic,IL10,206945839,,5926.0,False,0.039791,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_4_hour-Garber2017,IBD,Mid
chr22:37258502-37258503,genic|chr22:37258250-37258750,genic,NCF4,37257029,,1471.0,False,0.02851,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_4_hour-Garber2017,IBD,Mid
chr22:39662549-39662550,intergenic|chr22:39662383-39662883,intergenic,PDGFB,39641060,,21573.0,False,0.038056,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_4_hour-Garber2017,IBD,Mid
chr20:48955594-48955595,intergenic|chr20:48955088-48955932,intergenic,LINC01270,48909256,,46254.0,False,0.017299,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_4_hour-Garber2017,IBD,Low
chr20:48955594-48955595,intergenic|chr20:48955088-48955932,intergenic,LINC01271,48937879,,17631.0,False,0.03118,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_4_hour-Garber2017,IBD,Mid
chr20:44740195-44740196,intergenic|chr20:44739859-44740359,intergenic,NCOA5,44718580,,21529.0,False,0.025497,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_4_hour-Garber2017,IBD,Mid
chr20:44740195-44740196,intergenic|chr20:44739859-44740359,intergenic,CD40,44746892,,6783.0,False,0.103612,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_4_hour-Garber2017,IBD,High
chr6:391622-391623,promoter|chr6:391356-392479,promoter,IRF4,391738,,179.5,True,0.156152,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_4_hour-Garber2017,IBD,High
chr18:46395021-46395022,intergenic|chr18:46394758-46395951,intergenic,DYM,46987079,,591724.5,False,0.018931,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_4_hour-Garber2017,IBD,Low
chr18:46395021-46395022,intergenic|chr18:46394758-46395951,intergenic,SMAD7,46477081,,81726.5,False,0.023299,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_4_hour-Garber2017,IBD,Mid
chr18:46395021-46395022,intergenic|chr18:46394758-46395951,intergenic,ZBTB7C,45663680,,731674.5,False,0.015235,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_4_hour-Garber2017,IBD,Low
chr11:118785981-118785982,intergenic|chr11:118785704-118786204,intergenic,BCL9L,118781613,,4341.0,False,0.023136,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_4_hour-Garber2017,IBD,Mid
chr17:25867692-25867693,genic|chr17:25867465-25868169,genic,KSR1,25799035,,68782.0,False,0.037645,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_4_hour-Garber2017,IBD,Mid
chr20:48955423-48955424,intergenic|chr20:48955088-48955932,intergenic,LINC01270,48909256,,46254.0,False,0.017299,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_4_hour-Garber2017,IBD,Low
chr20:48955423-48955424,intergenic|chr20:48955088-48955932,intergenic,LINC01271,48937879,,17631.0,False,0.03118,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_4_hour-Garber2017,IBD,Mid
