region,name,class,TargetGene,TargetGeneTSS,TargetGeneExpression,distance,isSelfPromoter,ABC.Score,CellType,Disease,score_category
chr6:167534289-167534290,genic|chr6:167534000-167534779,genic,AFDN,168227670,,693280.5,False,0.015346,CD19-positive_B_cell-Roadmap,IBD,Low
chr6:167534289-167534290,genic|chr6:167534000-167534779,genic,LOC101929420,168643617,,1109227.5,False,0.019081,CD19-positive_B_cell-Roadmap,IBD,Low
chr6:167534289-167534290,genic|chr6:167534000-167534779,genic,GPR31,167571319,,36929.5,False,0.024239,CD19-positive_B_cell-Roadmap,IBD,Mid
chr6:167534289-167534290,genic|chr6:167534000-167534779,genic,FGFR1OP,167412804,,121585.5,False,0.021771,CD19-positive_B_cell-Roadmap,IBD,Mid
chr17:38023744-38023745,promoter|chr17:38023514-38024704,promoter,ZPBP2,38024454,,345.0,True,0.110965,CD19-positive_B_cell-Roadmap,IBD,High
chr17:38023744-38023745,promoter|chr17:38023514-38024704,promoter,IKZF3,38020441,,3668.0,False,0.110968,CD19-positive_B_cell-Roadmap,IBD,High
chr22:37258502-37258503,genic|chr22:37258280-37258986,genic,NCF4,37257029,,1604.0,False,0.051869,CD19-positive_B_cell-Roadmap,IBD,High
chr21:34777408-34777409,genic|chr21:34776299-34777973,genic,IFNGR2,34775201,,1935.0,False,0.101913,CD19-positive_B_cell-Roadmap,IBD,High
chr10:6094696-6094697,genic|chr10:6094265-6095025,genic,RBM17,6130948,,36303.0,False,0.015943,CD19-positive_B_cell-Roadmap,IBD,Low
chr10:6094696-6094697,genic|chr10:6094265-6095025,genic,IL15RA,6019574,,75071.0,False,0.016088,CD19-positive_B_cell-Roadmap,IBD,Low
chr10:6094696-6094697,genic|chr10:6094265-6095025,genic,IL2RA,6104333,,9688.0,False,0.042916,CD19-positive_B_cell-Roadmap,IBD,Mid
chr11:118754352-118754353,promoter|chr11:118753832-118754810,promoter,CXCR5,118754474,,153.0,True,0.106701,CD19-positive_B_cell-Roadmap,IBD,High
chr6:391622-391623,promoter|chr6:391018-392962,promoter,IRF4,391738,,252.0,True,0.159253,CD19-positive_B_cell-Roadmap,IBD,High
chr16:11422905-11422906,intergenic|chr16:11421133-11423212,intergenic,LOC105371083,11439069,,16896.5,False,0.093835,CD19-positive_B_cell-Roadmap,IBD,High
chr16:11422905-11422906,intergenic|chr16:11421133-11423212,intergenic,RMI2,11439294,,17121.5,False,0.09384,CD19-positive_B_cell-Roadmap,IBD,High
chr16:11422905-11422906,intergenic|chr16:11421133-11423212,intergenic,LITAF,11680806,,258633.5,False,0.015684,CD19-positive_B_cell-Roadmap,IBD,Low
chr16:11422905-11422906,intergenic|chr16:11421133-11423212,intergenic,DEXI,11036257,,385915.5,False,0.023155,CD19-positive_B_cell-Roadmap,IBD,Mid
chr16:11422905-11422906,intergenic|chr16:11421133-11423212,intergenic,SOCS1,11350039,,72133.5,False,0.05001,CD19-positive_B_cell-Roadmap,IBD,High
chr16:11422905-11422906,intergenic|chr16:11421133-11423212,intergenic,EMP2,10674573,,747599.5,False,0.017208,CD19-positive_B_cell-Roadmap,IBD,Low
chr16:11422905-11422906,intergenic|chr16:11421133-11423212,intergenic,CLEC16A,11038344,,383828.5,False,0.023148,CD19-positive_B_cell-Roadmap,IBD,Mid
chr16:11422905-11422906,intergenic|chr16:11421133-11423212,intergenic,ATF7IP2,10479911,,942261.5,False,0.016334,CD19-positive_B_cell-Roadmap,IBD,Low
chr16:11422905-11422906,intergenic|chr16:11421133-11423212,intergenic,TXNDC11,11836734,,414561.5,False,0.016444,CD19-positive_B_cell-Roadmap,IBD,Low
chr18:46395021-46395022,intergenic|chr18:46394708-46396164,intergenic,LIPG,47088400,,692964.0,False,0.018365,CD19-positive_B_cell-Roadmap,IBD,Low
chr18:46395021-46395022,intergenic|chr18:46394708-46396164,intergenic,SCARNA17,47340392,,944956.0,False,0.01701,CD19-positive_B_cell-Roadmap,IBD,Low
chr18:46395021-46395022,intergenic|chr18:46394708-46396164,intergenic,SMAD2,45457517,,937919.0,False,0.015215,CD19-positive_B_cell-Roadmap,IBD,Low
chr18:46395021-46395022,intergenic|chr18:46394708-46396164,intergenic,ACAA2,47340251,,944815.0,False,0.01701,CD19-positive_B_cell-Roadmap,IBD,Low
chr18:46395021-46395022,intergenic|chr18:46394708-46396164,intergenic,SNHG22,47340392,,944956.0,False,0.01701,CD19-positive_B_cell-Roadmap,IBD,Low
chr18:46395021-46395022,intergenic|chr18:46394708-46396164,intergenic,SMAD7,46477081,,81645.0,False,0.031013,CD19-positive_B_cell-Roadmap,IBD,Mid
chr18:46395021-46395022,intergenic|chr18:46394708-46396164,intergenic,DYM,46987079,,591643.0,False,0.021649,CD19-positive_B_cell-Roadmap,IBD,Mid
chr18:46395021-46395022,intergenic|chr18:46394708-46396164,intergenic,CTIF,46065426,,330010.0,False,0.023793,CD19-positive_B_cell-Roadmap,IBD,Mid
chr11:118785981-118785982,intergenic|chr11:118784335-118786195,intergenic,DDX6,118661972,,123293.0,False,0.015129,CD19-positive_B_cell-Roadmap,IBD,Low
chr11:118785981-118785982,intergenic|chr11:118784335-118786195,intergenic,TRAPPC4,118889178,,103913.0,False,0.015634,CD19-positive_B_cell-Roadmap,IBD,Low
chr11:118785981-118785982,intergenic|chr11:118784335-118786195,intergenic,UPK2,118827007,,41742.0,False,0.023158,CD19-positive_B_cell-Roadmap,IBD,Mid
chr11:118785981-118785982,intergenic|chr11:118784335-118786195,intergenic,CCDC84,118868842,,83577.0,False,0.016858,CD19-positive_B_cell-Roadmap,IBD,Low
chr11:118785981-118785982,intergenic|chr11:118784335-118786195,intergenic,RPS25,118889057,,103792.0,False,0.015634,CD19-positive_B_cell-Roadmap,IBD,Low
